scientific_name,common_name,slug,occurrence_v1,occurrence_v2,in_auvic_bundle,status
Ptilotula fusca,Fuscous Honeyeater,ptilotula-fusca,0.0618,0.1848,yes,covered
Columba livia,Rock Pigeon,columba-livia,0.1000,0.1838,yes,covered
Tadorna tadornoides,Australian Shelduck,tadorna-tadornoides,0.0402,0.1825,yes,covered
Eudynamys orientalis,Pacific Koel,eudynamys-orientalis,0.1823,0.1730,yes,covered
Geopelia placida,Peaceful Dove,geopelia-placida,0.0747,0.1804,yes,covered
Malacorhynchus membranaceus,Pink-eared Duck,malacorhynchus-membranaceus,0.0428,0.1804,yes,covered
Chrysococcyx lucidus,Shining Bronze-Cuckoo,chrysococcyx-lucidus,0.0580,0.1802,yes,covered
Anthochaera chrysoptera,Little Wattlebird,anthochaera-chrysoptera,0.1785,0.1673,yes,covered
Circus approximans,Swamp Harrier,circus-approximans,0.0644,0.1748,yes,covered
Glossopsitta concinna,Musk Lorikeet,glossopsitta-concinna,0.0793,0.1748,yes,covered
Himantopus leucocephalus,Pied Stilt,himantopus-leucocephalus,0.0411,0.1736,yes,covered
Thalasseus bergii,Great Crested Tern,thalasseus-bergii,0.0123,0.1690,yes,covered
Petroica rosea,Rose Robin,petroica-rosea,0.0460,0.1667,yes,covered
Lichenostomus melanops,Yellow-tufted Honeyeater,lichenostomus-melanops,0.0574,0.1644,yes,covered
Eurystomus orientalis,Dollarbird,eurystomus-orientalis,0.1630,0.1552,yes,covered
Poodytes gramineus,Little Grassbird,poodytes-gramineus,0.0307,0.1625,yes,covered
Petroica boodang,Scarlet Robin,petroica-boodang,0.1594,0.1090,yes,covered
Cisticola exilis,Golden-headed Cisticola,cisticola-exilis,0.0240,0.1560,yes,covered
Myiagra inquieta,Restless Flycatcher,myiagra-inquieta,0.0268,0.1544,yes,covered
Falcunculus frontatus,Crested Shrike-tit,falcunculus-frontatus,0.0058,0.1505,yes,covered
Daphoenositta chrysoptera,Varied Sittella,daphoenositta-chrysoptera,0.0125,0.1493,yes,covered
Accipiter fasciatus,Brown Goshawk,accipiter-fasciatus,0.0160,0.1489,yes,covered
Petrochelidon ariel,Fairy Martin,petrochelidon-ariel,0.0572,0.1463,yes,covered
Chrysococcyx basalis,Horsfield's Bronze-Cuckoo,chrysococcyx-basalis,0.0094,0.1434,yes,covered
Bubulcus ibis,Cattle Egret,bubulcus-ibis,0.0313,0.1415,no,GAP
Hydroprogne caspia,Caspian Tern,hydroprogne-caspia,0.0138,0.1413,yes,covered
Calidris ruficollis,Red-necked Stint,calidris-ruficollis,0.0069,0.1406,yes,covered
Callocephalon fimbriatum,Gang-gang Cockatoo,callocephalon-fimbriatum,0.1404,0.1021,yes,covered
Manorina melanophrys,Bell Miner,manorina-melanophrys,0.1401,0.0861,yes,covered
Gerygone mouki,Brown Gerygone,gerygone-mouki,0.1400,0.1333,yes,covered
Hirundapus caudacutus,White-throated Needletail,hirundapus-caudacutus,0.0156,0.1387,yes,covered
Merops ornatus,Rainbow Bee-eater,merops-ornatus,0.0579,0.1359,yes,covered
Biziura lobata,Musk Duck,biziura-lobata,0.0147,0.1348,yes,covered
